,id,book,book2,chapter,verse,language,stem,und_do,L_object,K_object,infinitive_object,indirect_object,benefactive,location,dir_object,valence,obj_valence,source,remarks,main_sub,txt_type,genre,remarks,
795,452821,Judges,Judges,21,7,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,,good,subadv,Q,prose,make a wife,
835,455157,1_Samuel,Samuel,18,2,hbo,qal,0,0,0,1,0,0,0,1,100100,1001,,good,,,prose,,
839,455214,1_Samuel,Samuel,18,17,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,,good,main,Q,prose,,
843,455267,1_Samuel,Samuel,18,27,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,,good,main,N,prose,,
855,455998,1_Samuel,Samuel,24,8,hbo,qal,0,0,0,1,0,0,0,1,100100,1001,,good,main,Q,prose,,
893,459648,2_Samuel,Samuel,21,10,hbo,qal,0,0,0,1,0,0,0,1,100100,1001,,good,,,prose,,
903,460400,1_Kings,Kings,2,17,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,,good,main,Q,prose,,
904,460420,1_Kings,Kings,2,21,hbo,hof,0,1,0,0,1,0,0,1,110001,1100,,good,main,Q,prose,,
922,460831,1_Kings,Kings,5,25,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,,good,main,N,prose,,
936,461298,1_Kings,Kings,8,36,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,,good,submod,Q,prose,,
941,461367,1_Kings,Kings,8,50,hbo,qal,0,1,0,0,0,0,1,1,110010,1100,,good,main,Q,prose,,
948,461501,1_Kings,Kings,9,16,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,,good,main,N,prose,,
949,461517,1_Kings,Kings,9,22,hbo,qal,0,0,0,0,0,0,1,2,200010,2000,,good,main,N,prose,,
957,461618,1_Kings,Kings,10,27,hbo,qal,0,0,1,0,0,0,1,1,101010,1010,,good,,,prose,,
958,461619,1_Kings,Kings,10,27,hbo,qal,0,0,1,0,0,0,0,1,101000,1010,,good,,,prose,,
963,461689,1_Kings,Kings,11,19,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,,good,main,N,prose,,
976,462197,1_Kings,Kings,14,7,hbo,qal,0,0,0,0,0,0,1,2,200010,2000,,good,main,N,prose,,
980,462307,1_Kings,Kings,15,4,hbo,qal,0,0,0,1,1,0,0,1,100101,1001,,good,,,prose,,
983,462410,1_Kings,Kings,16,2,hbo,qal,0,0,0,0,0,0,1,2,200010,2000,,good,subadv,N,prose,,
984,462415,1_Kings,Kings,16,3,hbo,qal,0,0,1,0,0,0,0,1,101000,1010,,good,,,prose,,
1007,463418,1_Kings,Kings,21,22,hbo,qal,0,0,1,0,0,0,0,1,101000,1010,,good,,,prose,,
1027,465027,2_Kings,Kings,9,9,hbo,qal,0,0,1,0,0,0,0,1,101000,1010,,good,,,prose,,
1041,465699,2_Kings,Kings,14,9,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,,good,main,Q,prose,,
1042,465828,2_Kings,Kings,15,19,hbo,qal,0,0,0,1,1,0,0,1,100101,1001,,good,,,prose,,
1072,467276,Isaiah,Isaiah,3,4,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,And I will make boys their princes,
1078,468999,Isaiah,Isaiah,27,4,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,D,prophecy,,
1092,470231,Isaiah,Isaiah,40,23,hbo,qal,0,1,0,0,0,0,0,1,110000,1100,,good,subadv,Q,prophecy,and makes the rulers of the earth as nothing,
1095,470282,Isaiah,Isaiah,41,2,hbo,qal,0,0,1,0,0,0,0,1,101000,1010,,,,,prophecy,,
1100,470451,Isaiah,Isaiah,42,6,hbo,qal,0,1,0,0,0,0,0,1,110000,1100,,good,main,Q,prophecy,"I have given you as a covenant to the people,[a]",
1102,470532,Isaiah,Isaiah,42,24,hbo,qal,0,1,0,0,0,0,0,1,110000,1100,,good,main,Q,prophecy,Who makes Jacob a plundering,
1103,470559,Isaiah,Isaiah,43,3,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,I give Egypt as your ransom,
1109,470666,Isaiah,Isaiah,43,28,hbo,qal,0,1,0,0,0,0,0,1,110000,1100,,good,main,Q,prophecy,˜I delivered Jacob to utter destruction,
1114,471266,Isaiah,Isaiah,49,6,hbo,qal,0,1,0,0,0,0,0,1,110000,1100,,good,main,Q,prophecy,"I will give you as a light to the nations,",
1115,471281,Isaiah,Isaiah,49,8,hbo,qal,0,1,0,0,0,0,0,1,110000,1100,,good,main,Q,prophecy,and given you as covenant,
1120,471787,Isaiah,Isaiah,55,4,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,˜I made him a witness to the peoples,
1127,472358,Isaiah,Isaiah,62,8,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,subadv,Q,prophecy,I will not again give your grain,
1128,472775,Jeremiah,Jeremiah,1,5,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,I appointed you a prophet to the nations.?,
1131,472839,Jeremiah,Jeremiah,1,18,hbo,qal,0,0,1,1,1,0,0,1,110011,1100,,good,main,Q,prophecy,And I for my part have made you today a fortified city,
1137,473360,Jeremiah,Jeremiah,5,14,hbo,qal,0,0,0,0,1,0,0,1,110000,1100,,good,main,Q,prophecy,I am now making my words in your mouth a fire,
1140,473573,Jeremiah,Jeremiah,6,27,hbo,qal,0,0,0,1,0,0,0,2,200010,2000,,good,main,Q,prophecy,I have made you a tester and a refiner[a]˜among my people,
1145,473838,Jeremiah,Jeremiah,8,23,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,"O that my head were a spring of water,",
1147,473887,Jeremiah,Jeremiah,9,10,hbo,qal,0,0,0,0,1,0,0,1,110000,1100,,good,main,Q,prophecy,I will make Jerusalem a heap of ruins,
1148,473888,Jeremiah,Jeremiah,9,10,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,and I will make the towns of Judah a desolation,
1154,474221,Jeremiah,Jeremiah,12,10,hbo,qal,0,0,0,0,1,0,0,1,110000,1100,,good,main,Q,prophecy,they have made my pleasant portion,
1159,474520,Jeremiah,Jeremiah,15,4,hbo,qal,0,0,1,0,1,0,0,1,110001,1100,,good,main,Q,prophecy,˜I will make them a horror to all the kingdoms of the earth˜,
1162,474598,Jeremiah,Jeremiah,15,20,hbo,qal,0,0,1,0,1,0,0,1,110001,1100,,good,main,Q,prophecy,And I will make you to this people,
1169,474956,Jeremiah,Jeremiah,19,7,hbo,qal,0,0,1,0,1,0,0,1,110001,1100,,good,main,Q,prophecy,I will give their dead bodies for food to the birds˜,
1170,474977,Jeremiah,Jeremiah,19,12,hbo,qal,0,0,0,0,0,0,1,1,101000,1010,,,,,prophecy,,
1172,475005,Jeremiah,Jeremiah,20,4,hbo,qal,0,0,1,0,1,0,0,1,110001,1100,,good,main,Q,prophecy,I am making you a terror to yourself and to all your friends,
1186,475514,Jeremiah,Jeremiah,24,9,hbo,qal,0,0,1,0,1,0,0,1,110001,1100,,good,main,Q,prophecy,,
1193,475683,Jeremiah,Jeremiah,26,6,hbo,qal,0,0,0,0,0,0,1,1,101000,1010,,,,,prophecy,,
1194,475684,Jeremiah,Jeremiah,26,6,hbo,qal,0,0,1,0,1,0,0,1,110001,1100,,good,main,Q,prophecy,and I will make this city a curse for all the nations of the earth,
1206,475988,Jeremiah,Jeremiah,29,17,hbo,qal,0,0,0,0,0,0,1,1,101000,1010,,,,,prophecy,,
1207,475991,Jeremiah,Jeremiah,29,18,hbo,qal,0,0,1,0,1,0,0,1,110001,1100,,good,main,Q,prophecy,"and will make them a horror to all the kingdoms of the earth,",
1209,476028,Jeremiah,Jeremiah,29,26,hbo,qal,0,0,0,1,0,0,0,2,200010,2000,,good,main,Q,prophecy,The˜Lord˜himself has made you priest instead of the priest Jehoiada,
1212,476134,Jeremiah,Jeremiah,30,16,hbo,qal,0,0,0,0,1,0,0,1,110000,1100,,good,main,Q,prophecy,˜and all who prey on you I will make a prey,
1214,476346,Jeremiah,Jeremiah,31,35,hbo,qal,0,0,0,0,1,0,0,1,110000,1100,,good,submod,Q,prophecy,who gives the sun for light by day,
1232,476740,Jeremiah,Jeremiah,34,17,hbo,qal,0,0,0,0,1,0,0,1,110000,1100,,good,main,Q,prophecy,I will make you a horror to all the kingdoms of the earth,
1236,476759,Jeremiah,Jeremiah,34,22,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,The towns of Judah I will make a desolation without inhabitant.,
1261,477787,Jeremiah,Jeremiah,45,5,hbo,qal,0,0,1,1,1,0,0,1,110011,1100,,good,main,Q,prophecy,but I will give you your life as a prize of war in every place to which you may go,
1266,478204,Jeremiah,Jeremiah,49,15,hbo,qal,0,0,0,1,0,0,0,2,200010,2000,,good,subadv,Q,prophecy,For I will make you least among the nations,
1269,478638,Jeremiah,Jeremiah,51,25,hbo,qal,0,0,0,0,1,0,0,1,110000,1100,,good,main,Q,prophecy,and make you a burned-out mountain,
1276,479112,Ezekiel,Ezekiel,3,8,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,,
1277,479114,Ezekiel,Ezekiel,3,9,hbo,qal,0,0,0,0,0,0,1,1,101000,1010,,good,main,Q,prophecy,,
1278,479151,Ezekiel,Ezekiel,3,17,hbo,qal,0,0,1,0,0,0,0,2,200001,2000,,good,main,Q,prophecy,,
1284,479229,Ezekiel,Ezekiel,4,3,hbo,qal,0,0,0,1,0,0,0,2,200010,2000,,good,main,Q,prophecy,,
1290,479356,Ezekiel,Ezekiel,5,14,hbo,qal,0,0,0,1,1,0,0,1,110010,1100,,good,main,Q,prophecy,,
1293,479432,Ezekiel,Ezekiel,6,14,hbo,qal,0,0,0,1,0,0,0,2,200010,2000,,good,main,Q,prophecy,,
1298,479525,Ezekiel,Ezekiel,7,20,hbo,qal,0,0,1,0,1,0,0,1,110001,1100,,good,main,Q,prophecy,,
1309,479943,Ezekiel,Ezekiel,12,6,hbo,qal,0,0,1,0,0,0,0,2,200001,2000,,good,subadv,Q,prophecy,,
1316,480309,Ezekiel,Ezekiel,15,8,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,,
1317,480339,Ezekiel,Ezekiel,16,7,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,N,prophecy,,
1331,480467,Ezekiel,Ezekiel,16,38,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,,
1335,480556,Ezekiel,Ezekiel,16,61,hbo,qal,0,0,1,0,1,0,0,1,110001,1100,,good,main,Q,prophecy,,
1354,481193,Ezekiel,Ezekiel,21,16,hbo,qal,0,1,0,0,0,0,0,1,100100,1001,,good,,,prophecy,,
1360,481326,Ezekiel,Ezekiel,22,4,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,,
1369,481612,Ezekiel,Ezekiel,23,46,hbo,qal,0,0,0,0,1,0,0,1,110000,1100,,good,main,Q,prophecy,,
1372,481760,Ezekiel,Ezekiel,25,4,hbo,qal,0,0,1,0,1,0,0,1,110001,1100,,good,main,Q,prophecy,,
1374,481765,Ezekiel,Ezekiel,25,5,hbo,qal,0,0,0,0,1,0,0,1,110000,1100,,good,main,Q,prophecy,,
1375,481775,Ezekiel,Ezekiel,25,7,hbo,qal,0,0,1,0,1,0,0,1,110001,1100,,good,main,Q,prophecy,,
1376,481788,Ezekiel,Ezekiel,25,10,hbo,qal,0,0,0,0,1,0,0,1,110000,1100,,good,main,Q,prophecy,,
1377,481802,Ezekiel,Ezekiel,25,13,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,,
1380,481839,Ezekiel,Ezekiel,26,4,hbo,qal,0,0,0,0,1,0,0,1,110000,1100,,good,main,Q,prophecy,,
1383,481869,Ezekiel,Ezekiel,26,14,hbo,qal,0,0,0,0,1,0,0,1,110000,1100,,good,main,Q,prophecy,,
1387,481908,Ezekiel,Ezekiel,26,21,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,,
1396,482025,Ezekiel,Ezekiel,28,2,hbo,qal,0,0,0,0,0,0,1,1,101000,1010,,good,main,N,prophecy,,
1397,482034,Ezekiel,Ezekiel,28,6,hbo,qal,0,0,0,0,0,0,1,1,101000,1010,,good,,,prophecy,,
1400,482083,Ezekiel,Ezekiel,28,18,hbo,qal,0,0,0,1,1,0,0,1,110010,1100,,good,main,N,prophecy,,
1403,482146,Ezekiel,Ezekiel,29,5,hbo,qal,0,0,1,0,1,0,0,1,110001,1100,,good,main,Q,prophecy,,
1404,482168,Ezekiel,Ezekiel,29,10,hbo,qal,0,0,0,1,1,0,0,1,110010,1100,,good,main,Q,prophecy,,
1405,482172,Ezekiel,Ezekiel,29,12,hbo,qal,0,0,0,1,0,0,0,2,200010,2000,,good,main,Q,prophecy,,
1406,482202,Ezekiel,Ezekiel,29,19,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,,
1410,482253,Ezekiel,Ezekiel,30,12,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,,
1423,482438,Ezekiel,Ezekiel,32,15,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,subadv,Q,prophecy,,
1435,482524,Ezekiel,Ezekiel,33,2,hbo,qal,0,0,1,0,1,0,0,1,110001,1100,,good,main,Q,prophecy,,
1439,482672,Ezekiel,Ezekiel,33,28,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,,
1440,482677,Ezekiel,Ezekiel,33,29,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,subadv,Q,prophecy,,
1441,482813,Ezekiel,Ezekiel,34,26,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,,
1444,482849,Ezekiel,Ezekiel,35,3,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,,
1445,482863,Ezekiel,Ezekiel,35,7,hbo,qal,0,0,0,0,1,0,0,1,110000,1100,,good,main,Q,prophecy,,
1446,482868,Ezekiel,Ezekiel,35,9,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,,
1448,482933,Ezekiel,Ezekiel,36,5,hbo,qal,0,0,1,0,1,0,0,1,110001,1100,,good,submod,Q,prophecy,,
1459,483191,Ezekiel,Ezekiel,37,19,hbo,qal,0,0,0,1,0,0,0,2,200010,2000,,good,main,Q,prophecy,,
1464,483349,Ezekiel,Ezekiel,39,4,hbo,qal,0,0,1,0,1,0,0,1,110001,1100,,good,main,Q,prophecy,,
1465,483377,Ezekiel,Ezekiel,39,11,hbo,qal,0,0,1,0,0,0,0,2,200001,2000,,good,main,Q,prophecy,"lastig geval (zie aantekening Janet, wel do constructie)",
1469,483897,Ezekiel,Ezekiel,43,19,hbo,qal,0,0,1,0,1,0,0,1,110001,1100,,good,main,Q,prophecy,,
1471,483988,Ezekiel,Ezekiel,44,14,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,,
1474,484069,Ezekiel,Ezekiel,45,6,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,,
1486,484699,Hosea,Hosea,5,4,hbo,qal,0,1,0,0,0,0,0,1,100100,1001,,good,,,prophecy,,
1491,485086,Hosea,Hosea,11,8,hbo,qal,0,0,0,0,0,0,1,1,101000,1010,,good,,,prophecy,,
1495,485422,Joel,Joel,2,17,hbo,qal,0,0,0,0,1,0,0,1,110000,1100,,good,main,Q,prophecy,,
1496,485432,Joel,Joel,2,19,hbo,qal,0,0,0,1,0,0,0,2,200010,2000,,good,main,Q,prophecy,,
